波動,ㄅㄛ ㄉㄨㄥˋ,to undulate / to fluctuate / wave motion / rise and fall,
玻璃,ㄅㄛ ㄌㄧˊ,glass / (slang) male homosexual,張 / 塊
薄,ㄅㄛˊ,see 薄荷[bo4 he5],
薄弱,ㄅㄛˊ ㄖㄨㄛˋ,weak / frail,
伯父,ㄅㄛˊ ㄈㄨˋ,father's elder brother / term of respect for older man,個
伯母,ㄅㄛˊ ㄇㄨˇ,wife of father's elder brother / aunt / (polite form of address for a woman who is about the age of one's mother),個
捕,ㄅㄨˇ,to catch / to seize / to capture,
補,ㄅㄨˇ,to repair / to patch / to mend / to make up for / to fill (a vacancy) / to supplement,
補償,ㄅㄨˇ ㄔㄤˊ,to compensate / to make up,
補充,ㄅㄨˇ ㄔㄨㄥ,to replenish / to supplement / to complement / additional / supplementary,個
補課,ㄅㄨˇ ㄎㄜˋ,to make up missed lesson / to reschedule a class,
補習,ㄅㄨˇ ㄒㄧˊ,to take extra lessons in a cram school or with a private tutor,
補助,ㄅㄨˇ ㄓㄨˋ,to subsidize / subsidy / allowance,
補助,ㄅㄨˇ ㄓㄨˋ,to subsidize / subsidy / allowance,
步,ㄅㄨˋ,a step / a pace / walk / march / stages in a process / situation,
不大,ㄅㄨˋ ㄉㄚˋ,not very / not too / not often,
不安,ㄅㄨˋ ㄢ,unpeaceful / unstable / uneasy / disturbed / restless / worried,
不成,ㄅㄨˋ ㄔㄥˊ,won't do / unable to / (at the end of a rhetorical question) can that be?,
不當,ㄅㄨˋ ㄉㄤˋ,unsuitable / improper / inappropriate,
不到,ㄅㄨˋ ㄉㄠˋ,not to arrive / not reaching / insufficient / less than,
不得已,ㄅㄨˋ ㄉㄜˊ ㄧˇ,to act against one's will / to have no alternative but to / to have to / to have no choice / must,
不敢當,ㄅㄨˋ ㄍㄢˇ ㄉㄤ,lit. I dare not (accept the honor); fig. I don't deserve your praise / you flatter me,
不顧,ㄅㄨˋ ㄍㄨˋ,in spite of / regardless of,
不過,ㄅㄨˋ ㄍㄨㄛˋ,only / merely / no more than / but / however / anyway (to get back to a previous topic) / cannot be more (after adjectival),
不見得,ㄅㄨˋ ㄐㄧㄢˋ ㄉㄜ˙,not necessarily / not likely,
不僅,ㄅㄨˋ ㄐㄧㄣˇ,not only (this one) / not just (...) but also,
不良,ㄅㄨˋ ㄌㄧㄤˊ,bad / harmful / unhealthy,
不平,ㄅㄨˋ ㄆㄧㄥˊ,uneven / injustice / unfairness / wrong / grievance / indignant / dissatisfied,
不然,ㄅㄨˋ ㄖㄢˊ,not so / no / or else / otherwise / if not / How about ...?,
不如,ㄅㄨˋ ㄖㄨˊ,not equal to / not as good as / inferior to / it would be better to,
不許,ㄅㄨˋ ㄒㄩˇ,not to allow / must not / can't,
不宜,ㄅㄨˋ ㄧˊ,not suitable / inadvisable / inappropriate,
不由得,ㄅㄨˋ ㄧㄡˊ ㄉㄜ˙,can't help / cannot but,
不止,ㄅㄨˋ ㄓˇ,incessantly / without end / more than / not limited to,
部隊,ㄅㄨˋ ㄉㄨㄟˋ,army / armed forces / troops / force / unit,個
部長,ㄅㄨˋ ㄓㄤˇ,head of a (government etc) department / section chief / section head / secretary / minister,個 / 位 / 名
布告,ㄅㄨˋ ㄍㄠˋ,posting on a bulletin board / notice / bulletin / to announce,
佈告,ㄅㄨˋ ㄍㄠˋ,posting on a bulletin board / notice / bulletin / to announce,
布告欄,ㄅㄨˋ ㄍㄠˋ ㄌㄢˊ,bulletin board,
佈告欄,ㄅㄨˋ ㄍㄠˋ ㄌㄢˊ,bulletin board,
財產,ㄘㄞˊ ㄔㄢˇ,property / assets / estate,筆
財富,ㄘㄞˊ ㄈㄨˋ,wealth / riches,
才能,ㄘㄞˊ ㄋㄥˊ,talent / ability / capacity,
裁判,ㄘㄞˊ ㄆㄢˋ,judgment / to referee / umpire / judge / referee,個 / 位 / 名
裁員,ㄘㄞˊ ㄩㄢˊ,to cut staff / to lay off employees,
踩,ㄘㄞˇ,to step on / to tread / to stamp / to press a pedal / to pedal (a bike) / (online) to downvote,
採,ㄘㄞˇ,to pick / to pluck / to collect / to select / to choose / to gather,
採購,ㄘㄞˇ ㄍㄡˋ,to procure (for an enterprise etc) / to purchase,
彩色,ㄘㄞˇ ㄙㄜˋ,color / multi-colored,種
參與,ㄘㄢ ㄩˋ,to participate (in sth),
蠶,ㄘㄢˊ,silkworm,
慚愧,ㄘㄢˊ ㄎㄨㄟˋ,ashamed,
慘,ㄘㄢˇ,miserable / wretched / cruel / inhuman / disastrous / tragic / dim / gloomy,
倉庫,ㄘㄤ ㄎㄨˋ,depot / storehouse / warehouse,
藏,ㄘㄤˊ,storehouse / depository / Buddhist or Taoist scripture,
操心,ㄘㄠ ㄒㄧㄣ,to worry about,
操作,ㄘㄠ ㄗㄨㄛˋ,to work / to operate / to manipulate,
冊,ㄘㄜˋ,book / booklet / classifier for books,
策略,ㄘㄜˋ ㄌㄩㄝˋ,strategy / tactics / crafty / adroit,
測量,ㄘㄜˋ ㄌㄧㄤˊ,survey / to measure / to gauge / to determine,
測試,ㄘㄜˋ ㄕˋ,to test (machinery etc) / to test (students) / test / quiz / exam / beta (software),
測驗,ㄘㄜˋ ㄧㄢˋ,test / to test,次 / 個
測驗,ㄘㄜˋ ㄧㄢˋ,test / to test,次 / 個
差,ㄔㄚ,to send / to commission / messenger / mission,
差錯,ㄔㄚ ㄘㄨㄛˋ,mistake / slip-up / fault / error (in data transmission) / accident / mishap,
差距,ㄔㄚ ㄐㄩˋ,disparity / gap,
插,ㄔㄚ,to insert / stick in / pierce / to take part in / to interfere / to interpose,
插花,ㄔㄚ ㄏㄨㄚ,flower arranging / ikebana,
插圖,ㄔㄚ ㄊㄨˊ,illustration,
茶館,ㄔㄚˊ ㄍㄨㄢˇ,teahouse,家
茶館兒,ㄔㄚˊ ㄍㄨㄢˇ ㄦ,a teashop,
茶會,ㄔㄚˊ ㄏㄨㄟˋ,tea party,
茶葉,ㄔㄚˊ ㄧㄝˋ,tea / tea leaves,盒 / 罐 / 包 / 片
拆,ㄔㄞ,to tear open / to tear down / to tear apart / to open,
產,ㄔㄢˇ,to give birth / to reproduce / to produce / product / resource / estate / property,
產量,ㄔㄢˇ ㄌㄧㄤˋ,output,
產業,ㄔㄢˇ ㄧㄝˋ,industry / estate / property / industrial,
嘗試,ㄔㄤˊ ㄕˋ,to try / to attempt,次
嚐試,ㄔㄤˊ ㄕˋ,to try / to attempt,次
常識,ㄔㄤˊ ㄕˋ,common sense / general knowledge,門
長處,ㄔㄤˊ ㄔㄨˋ,good aspects / strong points,
長度,ㄔㄤˊ ㄉㄨˋ,length,
長方形,ㄔㄤˊ ㄈㄤ ㄒㄧㄥˊ,rectangle,
長久,ㄔㄤˊ ㄐㄧㄡˇ,(for a) long time,
長途,ㄔㄤˊ ㄊㄨˊ,long distance,
場,ㄔㄤˇ,large place used for a specific purpose / stage / scene (of a play) / classifier for sporting or recreational activities / classifier for number of exams,
場地,ㄔㄤˇ ㄉㄧˋ,space / site / place / sports pitch,
場合,ㄔㄤˇ ㄏㄜˊ,situation / occasion / context / setting / location / venue,
場所,ㄔㄤˇ ㄙㄨㄛˇ,location / place,
廠商,ㄔㄤˇ ㄕㄤ,manufacturer / producer,
抄,ㄔㄠ,to make a copy / to plagiarize / to search and seize / to raid / to grab / to go off with / to take a shortcut / to make a turning move / to fold one's arms,
鈔票,ㄔㄠ ㄆㄧㄠˋ,paper money / a bill (e.g. 100 yuan),張 / 紮
超出,ㄔㄠ ㄔㄨ,to exceed / to overstep / to go too far / to encroach,
超人,ㄔㄠ ㄖㄣˊ,superhuman / exceptional,
超越,ㄔㄠ ㄩㄝˋ,to surpass / to exceed / to transcend,
超重,ㄔㄠ ㄓㄨㄥˋ,"overweight (baggage, freight)",
朝,ㄔㄠˊ,morning,
潮流,ㄔㄠˊ ㄌㄧㄡˊ,tide / current / trend,
潮溼,ㄔㄠˊ ㄕ,damp / moist,
潮濕,ㄔㄠˊ ㄕ,damp / moist,
吵鬧,ㄔㄠˇ ㄋㄠˋ,noisy / raucous / to shout and scream,
車票,ㄔㄜ ㄆㄧㄠˋ,ticket (for a bus or train),
扯,ㄔㄜˇ,"to pull / to tear / (of cloth, thread etc) to buy / to chat / to gossip / (coll.) (Tw) ridiculous / hokey",
澈底,ㄔㄜˋ ㄉㄧˇ,variant of 徹底底[che4 di3],
沉,ㄔㄣˊ,to submerge / to immerse / to sink / to keep down / to lower / to drop / deep / profound / heavy,
陳列,ㄔㄣˊ ㄌㄧㄝˋ,to display / to exhibit,
稱,ㄔㄥ,variant of 秤[cheng4] / steelyard,
撐,ㄔㄥ,to support / to prop up / to push or move with a pole / to maintain / to open or unfurl / to fill to bursting point / brace / stay / support,
成,ㄔㄥˊ,to succeed / to finish / to complete / to accomplish / to become / to turn into / to be all right / OK! / one tenth,
成,ㄔㄥˊ,to succeed / to finish / to complete / to accomplish / to become / to turn into / to be all right / OK! / one tenth,
成本,ㄔㄥˊ ㄅㄣˇ,"(manufacturing, production etc) costs",
成分,ㄔㄥˊ ㄈㄣˋ,composition / make-up / ingredient / element / component / one's social status,個
成份,ㄔㄥˊ ㄈㄣˋ,composition / make-up / ingredient / element / component / one's social status / same as 成分,
成交,ㄔㄥˊ ㄐㄧㄠ,to complete a contract / to reach a deal,
成立,ㄔㄥˊ ㄌㄧˋ,to establish / to set up / to be tenable / to hold water,
成天,ㄔㄥˊ ㄊㄧㄢ,(coll.) all day long / all the time,
成為,ㄔㄥˊ ㄨㄟˊ,to become / to turn into,
成語,ㄔㄥˊ ㄩˇ,"Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation / idiom / proverb / saying / adage",條 / 本 / 句
乘,ㄔㄥˊ,four horse military chariot (archaic) / four (archaic) / generic term for history books,
乘客,ㄔㄥˊ ㄎㄜˋ,passenger,
誠懇,ㄔㄥˊ ㄎㄣˇ,sincere / honest / cordial,
誠意,ㄔㄥˊ ㄧˋ,sincerity / good faith,
呈現,ㄔㄥˊ ㄒㄧㄢˋ,to appear / to emerge / to present (a certain appearance) / to demonstrate,
程序,ㄔㄥˊ ㄒㄩˋ,procedures / sequence / order / computer program,
吃虧,ㄔ ㄎㄨㄟ,to suffer losses / to come to grief / to lose out / to get the worst of it / to be at a disadvantage / unfortunately,
遲,ㄔˊ,late / delayed / slow,
遲早,ㄔˊ ㄗㄠˇ,sooner or later,
尺寸,ㄔˇ ㄘㄨㄣˋ,size / dimension / measurement,
翅膀,ㄔˋ ㄅㄤˇ,wing,個 / 對
沖,ㄔㄨㄥ,(of water) to dash against / to mix with water / to infuse / to rinse / to flush / to develop (a film) / to rise in the air / to clash / to collide with,
充分,ㄔㄨㄥ ㄈㄣˋ,ample / sufficient / adequate / full / fully / to the full,
充份,ㄔㄨㄥ ㄈㄣˋ,ample / sufficient / adequate / full / fully / to the full,
充滿,ㄔㄨㄥ ㄇㄢˇ,full of / brimming with / very full / permeated,
充足,ㄔㄨㄥ ㄗㄨˊ,adequate / sufficient / abundant,
重,ㄔㄨㄥˊ,heavy / serious / to attach importance to,
崇拜,ㄔㄨㄥˊ ㄅㄞˋ,to worship / adoration,
崇高,ㄔㄨㄥˊ ㄍㄠ,majestic / sublime,
抽屜,ㄔㄡ ㄊㄧˋ,drawer,
愁,ㄔㄡˊ,to worry about,
出,ㄔㄨ,"to go out / to come out / to occur / to produce / to go beyond / to rise / to put forth / to happen / (used after a verb to indicate an outward direction or a positive result) / classifier for dramas, plays, operas etc",
出產,ㄔㄨ ㄔㄢˇ,"to produce (by natural growth, or by manufacture, mining etc) / to yield / to turn out / produce / products",
出境,ㄔㄨ ㄐㄧㄥˋ,to leave a country or region / outbound (tourism),
出口,ㄔㄨ ㄎㄡˇ,an exit / to speak / to export / (of a ship) to leave port,個
出色,ㄔㄨ ㄙㄜˋ,remarkable / outstanding,
出身,ㄔㄨ ㄕㄣ,to be born of / to come from / family background / class origin,
出事,ㄔㄨ ㄕˋ,to have an accident / to meet with a mishap,
出售,ㄔㄨ ㄕㄡˋ,to sell / to offer for sale / to put on the market,
出席,ㄔㄨ ㄒㄧˊ,to attend / to participate / present,
出院,ㄔㄨ ㄩㄢˋ,to leave hospital / to be discharged from hospital,
初,ㄔㄨ,at first / (at the) beginning / first / junior / basic,
初步,ㄔㄨ ㄅㄨˋ,initial / preliminary / tentative,
初步,ㄔㄨ ㄅㄨˋ,initial / preliminary / tentative,
初級,ㄔㄨ ㄐㄧˊ,junior / primary,
除,ㄔㄨˊ,to get rid of / to remove / to exclude / to eliminate / to wipe out / to divide / except / not including,
除,ㄔㄨˊ,to get rid of / to remove / to exclude / to eliminate / to wipe out / to divide / except / not including,
除,ㄔㄨˊ,to get rid of / to remove / to exclude / to eliminate / to wipe out / to divide / except / not including,
除非,ㄔㄨˊ ㄈㄟ,"only if (..., or otherwise, ...) / only when / only in the case that / unless",
儲存,ㄔㄨˊ ㄘㄨㄣˊ,stockpile / to store / to stockpile / storage,
儲蓄,ㄔㄨˊ ㄒㄩˋ,to deposit money / to save / savings,
處,ㄔㄨˇ,"place / location / spot / point / office / department / bureau / respect / classifier for locations or items of damage: spot, point",
處罰,ㄔㄨˇ ㄈㄚˊ,to penalize / to punish,
處,ㄔㄨˋ,"place / location / spot / point / office / department / bureau / respect / classifier for locations or items of damage: spot, point",
處處,ㄔㄨˋ ㄔㄨˋ,everywhere / in all respects,
傳,ㄔㄨㄢˊ,biography / historical narrative / commentaries / relay station,
傳播,ㄔㄨㄢˊ ㄅㄛˋ,to disseminate / to propagate / to spread,
傳達,ㄔㄨㄢˊ ㄉㄚˊ,to pass on / to convey / to relay / to transmit / transmission,
傳單,ㄔㄨㄢˊ ㄉㄢ,leaflet / flier / pamphlet,
傳染,ㄔㄨㄢˊ ㄖㄢˇ,to infect / contagious,
傳說,ㄔㄨㄢˊ ㄕㄨㄛ,legend / folklore / to repeat from mouth to mouth / they say that...,
傳說,ㄔㄨㄢˊ ㄕㄨㄛ,legend / folklore / to repeat from mouth to mouth / they say that...,
傳送,ㄔㄨㄢˊ ㄙㄨㄥˋ,to convey / to deliver,
傳統,ㄔㄨㄢˊ ㄊㄨㄥˇ,tradition / traditional / convention / conventional,個
傳真,ㄔㄨㄢˊ ㄓㄣ,fax / facsimile,
窗口,ㄔㄨㄤ ㄎㄡˇ,window / opening providing restricted access (e.g. customer service window) / computer operating system window / fig. medium / intermediary / showpiece / testing ground,
床,ㄔㄨㄤˊ,bed / couch / classifier for beds,張
床單,ㄔㄨㄤˊ ㄉㄢ,bed sheet,條 / 件 / 張 / 床
幢,ㄔㄨㄤˊ,classifier for buildings / carriage curtain (old),
闖,ㄔㄨㄤˇ,to rush / to charge / to dash / to break through / to temper oneself (through battling hardships),
創作,ㄔㄨㄤˋ ㄗㄨㄛˋ,to create / to produce / to write / creative work / creation,個
春季,ㄔㄨㄣ ㄐㄧˋ,springtime,
春假,ㄔㄨㄣ ㄐㄧㄚˋ,spring break,
純,ㄔㄨㄣˊ,pure / simple / unmixed / genuine,
磁帶,ㄘˊ ㄉㄞˋ,magnetic tape,盤 / 盒
詞典,ㄘˊ ㄉㄧㄢˇ,dictionary / also written 辭典典[ci2 dian3],部 / 本
詞彙,ㄘˊ ㄏㄨㄟˋ,vocabulary / list of words (e.g. for language teaching purposes) / word,
辭職,ㄘˊ ㄓˊ,to resign,
此外,ㄘˇ ㄨㄞˋ,besides / in addition / moreover / furthermore,
刺,ㄘˋ,thorn / sting / thrust / to prick / to pierce / to stab / to assassinate / to murder,
刺激,ㄘˋ ㄐㄧ,to provoke / to irritate / to upset / to stimulate / to excite / irritant,
次數,ㄘˋ ㄕㄨˋ,number of times / frequency / order number (in a series) / power (math.) / degree of a polynomial (math.),
從,ㄘㄨㄥˊ,from / through / via / to follow / to obey / to engage in (an activity) / never (in negative sentence) / (Taiwan pr. [zong4]) retainer / assistant / auxiliary / subordinate / related by common paternal grandfather or earlier ancestor,
從此,ㄘㄨㄥˊ ㄘˇ,from now on / since then / henceforth,
從沒,ㄘㄨㄥˊ ㄇㄟˊ,never (in the past) / never did,
從事,ㄘㄨㄥˊ ㄕˋ,to go for / to engage in / to undertake / to deal with / to handle / to do,
湊,ㄘㄡˋ,"to gather together, pool or collect / to happen by chance / to move close to / to exploit an opportunity",
粗,ㄘㄨ,coarse / rough / thick (for cylindrical objects) / unfinished / vulgar / rude / crude,
粗心,ㄘㄨ ㄒㄧㄣ,careless / thoughtless,
促進,ㄘㄨˋ ㄐㄧㄣˋ,to promote (an idea or cause) / to advance / boost,
催,ㄘㄨㄟ,to urge / to press / to prompt / to rush sb / to hasten sth / to expedite,
存款,ㄘㄨㄣˊ ㄎㄨㄢˇ,to deposit money (in a bank etc) / bank savings / bank deposit,
搓,ㄘㄨㄛ,to rub or roll between the hands or fingers / to twist,
錯過,ㄘㄨㄛˋ ㄍㄨㄛˋ,"to miss (train, opportunity etc)",
錯字,ㄘㄨㄛˋ ㄗˋ,incorrect character / typo (in Chinese text),
措施,ㄘㄨㄛˋ ㄕ,measure / step,個
答,ㄉㄚˊ,reply / answer / return / respond / echo,
答案,ㄉㄚˊ ㄢˋ,answer / solution,個
達到,ㄉㄚˊ ㄉㄠˋ,to reach / to achieve / to attain,
打,ㄉㄚˇ,to beat / to strike / to hit / to break / to type / to mix up / to build / to fight / to fetch / to make / to tie up / to issue / to shoot / to calculate / to play (a game) / since / from,
打扮,ㄉㄚˇ ㄅㄢˋ,to decorate / to dress / to make up / to adorn / manner of dressing / style of dress,
打包,ㄉㄚˇ ㄅㄠ,to wrap / to pack / to put leftovers in a doggy bag for take-out / to package (computing),
打斷,ㄉㄚˇ ㄉㄨㄢˋ,to interrupt / to break off / to break (a bone),
打擾,ㄉㄚˇ ㄖㄠˇ,to disturb / to bother / to trouble,
打算,ㄉㄚˇ ㄙㄨㄢˋ,to plan / to intend / to calculate / plan / intention / calculation,個
打招呼,ㄉㄚˇ ㄓㄠ ㄏㄨ,to greet sb by word or action / to give prior notice,
打針,ㄉㄚˇ ㄓㄣ,to give or have an injection,
打字,ㄉㄚˇ ㄗˋ,to type,
大半,ㄉㄚˋ ㄅㄢˋ,more than half / greater part / most / probably / most likely,
大便,ㄉㄚˋ ㄅㄧㄢˋ,to defecate / excrement / feces,
